vin,make,model,year,price,body_type,trim,engine,transmission,fuel_type,mileage,exterior_color,interior_color,drivetrain,features,front_0_url,front_left_45_url,left_90_url,rear_left_135_url,rear_180_url,rear_right_225_url,right_270_url,front_right_315_url
1HGCM82633A123456,Honda,Accord,2023,$32000,Sedan,Sport,1.5L Turbo 4-Cylinder,CVT,Gasoline,32 City / 38 Hwy,Sonic Gray Pearl,Black Leather,FWD,"Apple CarPlay, Android Auto, Lane Departure Warning",https://media.spyneai.com/unsafe/fit-in/828x0/filters:format(webp)/https://spyne-media.s3.amazonaws.com/2025-05-21/car_replace_bg_4c0ed53f-d0b6-485c-a3b0-9ef86615cf20.jpg,https://media.spyneai.com/unsafe/fit-in/828x0/filters:format(webp)/https://spyne-media.s3.amazonaws.com/2025-05-21/car_replace_bg_4c0ed53f-d0b6-485c-a3b0-9ef86615cf20.jpg,https://media.spyneai.com/unsafe/fit-in/828x0/filters:format(webp)/https://spyne-media.s3.amazonaws.com/2025-05-21/car_replace_bg_4c0ed53f-d0b6-485c-a3b0-9ef86615cf20.jpg,https://media.spyneai.com/unsafe/fit-in/828x0/filters:format(webp)/https://spyne-media.s3.amazonaws.com/2025-05-21/car_replace_bg_4c0ed53f-d0b6-485c-a3b0-9ef86615cf20.jpg,https://media.spyneai.com/unsafe/fit-in/828x0/filters:format(webp)/https://spyne-media.s3.amazonaws.com/2025-05-21/car_replace_bg_4c0ed53f-d0b6-485c-a3b0-9ef86615cf20.jpg,https://media.spyneai.com/unsafe/fit-in/828x0/filters:format(webp)/https://spyne-media.s3.amazonaws.com/2025-05-21/car_replace_bg_4c0ed53f-d0b6-485c-a3b0-9ef86615cf20.jpg,https://media.spyneai.com/unsafe/fit-in/828x0/filters:format(webp)/https://spyne-media.s3.amazonaws.com/2025-05-21/car_replace_bg_4c0ed53f-d0b6-485c-a3b0-9ef86615cf20.jpg,https://media.spyneai.com/unsafe/fit-in/828x0/filters:format(webp)/https://spyne-media.s3.amazonaws.com/2025-05-21/car_replace_bg_4c0ed53f-d0b6-485c-a3b0-9ef86615cf20.jpg
5TDZA23C13S012345,Toyota,Camry,2023,$30000,Sedan,XSE,2.5L 4-Cylinder,8-Speed Automatic,Gasoline,28 City / 39 Hwy,Wind Chill Pearl,Red Leather,FWD,"Panoramic Roof, JBL Audio, Wireless Charging",,,,,,,,
1FTEW1E53JFB12345,Ford,F-150,2023,$45000,Truck,Lariat,3.5L EcoBoost V6,10-Speed Automatic,Gasoline,20 City / 26 Hwy,Rapid Red,Black/Brown Leather,4WD,"Pro Trailer Backup Assist, 360-Degree Camera, Power Tailgate",,,,,,,,
WVWAA71K08W201043,Volkswagen,Golf,2023,$28500,Hatchback,GTI,2.0L Turbo 4-Cylinder,6-Speed Manual,Gasoline,24 City / 34 Hwy,Deep Black Pearl,Clark Plaid,FWD,"Adaptive Cruise Control, Heated Seats, Fender Audio",,,,,,,,
5YJSA1E40MF412345,Tesla,Model 3,2023,$48000,Sedan,Long Range,Dual Motor Electric,Single-Speed,Electric,134 City / 126 Hwy,Pearl White,Black Vegan Leather,AWD,"Autopilot, Glass Roof, Premium Sound System",,,,,,,,
19UDE2F76NA001234,Acura,TLX,2023,$39500,Sedan,Technology,2.0L Turbo 4-Cylinder,10-Speed Automatic,Gasoline,22 City / 31 Hwy,Platinum White Pearl,Espresso Leather,FWD,"ELS Studio 3D Audio, Head-Up Display, Wireless Charging",,,,,,,,
3GCUKTEC8JG123456,Chevrolet,Silverado,2023,$52000,Truck,LTZ,5.3L V8,10-Speed Automatic,Gasoline,16 City / 21 Hwy,Silver Ice Metallic,Jet Black Leather,4WD,"Bose Premium Audio, Heated Steering Wheel, Trailering Package",,,,,,,,
5FNRL6H70NB004321,Honda,Odyssey,2023,$39000,Minivan,Elite,3.5L V6,10-Speed Automatic,Gasoline,19 City / 28 Hwy,Obsidian Blue Pearl,Beige Leather,FWD,"Rear Entertainment System, Vacuum Cleaner, Magic Slide Seats",,,,,,,,
JN8AS5MV6FW772543,Nissan,Rogue,2023,$33000,SUV,SL,1.5L Turbo 3-Cylinder,CVT,Gasoline,30 City / 37 Hwy,Champagne Silver,Charcoal Leather,AWD,"ProPILOT Assist, Bose Premium Audio, Panoramic Moonroof",,,,,,,,
WDDUG8GB5LA456789,Mercedes-Benz,E-Class,2023,$62000,Sedan,E 350,2.0L Turbo 4-Cylinder,9-Speed Automatic,Gasoline,23 City / 31 Hwy,Mojave Silver,Black MB-Tex,RWD,"MBUX Infotainment, Burmester Sound, 64-Color Ambient Lighting",,,,,,,,
